Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
skip to content,2,0,3,0,0,1,1,0,0
top navigation,2,2,2,0,0,1,0,0,0
explore,2,2,1,0,0,1,0,0,0
myrecipes myrecipes,2,2,2,0,0,2,0,0,0
course,1,2,1,0,0,1,0,0,0
baking,1,1,1,0,0,1,0,0,0
global,1,1,1,0,0,0,0,0,0
healthy,1,1,1,0,0,0,0,0,0
favorite ingredients,1,1,2,0,0,1,0,0,0
holidays and occasions,1,1,3,0,0,2,0,0,0
quick and easy,1,1,3,0,0,1,0,0,0
convenience recipes,1,1,2,0,0,2,0,0,0
bbq and grilling,1,1,3,0,0,2,0,0,0
how to,1,1,2,0,0,0,0,0,0
extra crispy,1,1,2,0,0,1,0,0,0
news,2,1,1,0,0,1,0,0,0
search close,2,2,2,0,0,2,0,0,0
profile menu,2,2,2,0,0,2,0,0,0
your profile,2,2,2,0,0,1,0,0,0
your profile,2,2,2,0,0,1,0,0,0
account,2,2,1,0,0,1,0,0,0
register,1,2,1,0,0,1,0,0,0
recipe box this link opens in a new tab,1,1,9,0,0,4,1,0,0
newsletters,1,1,1,0,0,1,0,0,0
email preferences,1,1,2,0,0,2,0,0,0
subscribe this link opens in a new tab,1,1,8,0,0,3,1,0,0
logout,2,1,1,0,0,1,0,0,0
login,2,2,1,0,0,1,0,0,0
pin fb,2,2,2,0,0,2,0,0,0
close this dialog window,2,2,4,0,0,2,0,0,0
explore myrecipes,2,2,2,0,0,1,0,0,0
myrecipes myrecipes,2,2,2,0,0,2,0,0,0
search,2,2,1,0,0,1,0,0,0
explore,2,2,1,0,0,1,0,0,0
explore,0,2,1,0,0,1,0,0,0
55 easy dinner recipes for busy weeknights https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp content 2fuploads 2fsites 2f19 2f2019 2f04 2f29 2fsloppyjoe 2000jpg,2,0,24,1,28,5,1,0,0
55 easy dinner recipes for busy weeknights,0,2,7,1,2,3,0,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
55 easy dinner recipes for busy weeknights,2,2,7,1,2,3,0,0,0
everybody understands the stuggle of getting dinner on the table after a long,1,2,13,0,0,4,2,0,0
day if you re looking for a simple recipe to simplify your weeknight you ve,1,1,15,0,0,3,4,0,0
come to the right place easy dinners are our specialty for an easy supper,1,1,14,0,0,4,2,0,0
that you can depend on we picked out some of our tried and true favorites,1,1,15,0,0,1,2,0,0
that have gotten us through even the busiest of days whether you re cooking,1,1,14,0,0,1,4,0,0
for yourself or for a family these easy dinners are sure to leave everyone,1,1,14,0,0,3,2,0,0
satisfied and stress free read more,0,1,6,0,0,1,0,0,0
the brilliant secret to making better mashed potatoes https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp content 2fuploads 2fsites 2f19 2f2019 2f02 2f26 2folive oil mashed potatoes 1811 p98 2000jpg,2,0,30,1,32,8,4,0,0
the brilliant secret to making better mashed potatoes,0,2,8,0,0,3,2,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
the brilliant secret to making better mashed potatoes,2,2,8,0,0,3,2,0,0
trust me it s so worth it read more,0,2,9,0,0,0,2,0,0
65 super easy finger foods to make for any party https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp content 2fuploads 2fsites 2f19 2f2018 2f07 2f19 2fpesto pinwheels ay 2000jpg,2,0,29,1,28,7,2,0,0
65 super easy finger foods to make for any party,0,2,10,1,2,3,1,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
65 super easy finger foods to make for any party,2,2,10,1,2,3,1,0,0
from chips and dip to one bite apps finger foods are the perfect way to kick,1,2,16,0,0,7,2,0,0
off a party no forks or spoons required just easy to pick up party foods so,1,1,16,0,0,5,2,0,0
you can clean up in no time read more,2,1,9,0,0,1,2,0,0
course,2,2,1,0,0,1,0,0,0
course,2,2,1,0,0,1,0,0,0
see all course,2,2,3,0,0,1,1,0,0
best appetizer recipesever,1,2,3,0,0,2,0,0,0
best drink recipes for any occasion,1,1,6,0,0,3,0,0,0
salad recipes,1,1,2,0,0,2,0,0,0
the ultimate guide to sensational sides,1,1,6,0,0,2,0,0,0
soup and stew recipes,1,1,4,0,0,3,0,0,0
easy entertaining for everyone,1,1,4,0,0,1,1,0,0
breakfast and brunch recipes,1,1,4,0,0,3,0,0,0
main dishes and entrees,1,1,4,0,0,2,0,0,0
dinner recipes,1,1,2,0,0,2,0,0,0
dessert recipes,2,1,2,0,0,2,0,0,0
baking,2,2,1,0,0,1,0,0,0
baking,2,2,1,0,0,1,0,0,0
see all baking,2,2,3,0,0,1,1,0,0
bread recipes,1,2,2,0,0,2,0,0,0
our most loved cake recipes,1,1,5,0,0,2,0,0,0
cookie recipes,1,1,2,0,0,2,0,0,0
pie recipes,2,1,2,0,0,2,0,0,0
global,2,2,1,0,0,0,0,0,0
global,2,2,1,0,0,0,0,0,0
see all global,2,2,3,0,0,0,1,0,0
spanish recipes,1,2,2,0,0,1,0,0,0
thai recipes,1,1,2,0,0,2,0,0,0
vietnamese recipes,1,1,2,0,0,1,0,0,0
middle eastern recipes,1,1,3,0,0,1,0,0,0
mexican recipes,1,1,2,0,0,1,0,0,0
malaysian recipes,1,1,2,0,0,1,0,0,0
korean recipes,1,1,2,0,0,1,0,0,0
japanese recipes,1,1,2,0,0,1,0,0,0
italian recipes,1,1,2,0,0,1,0,0,0
indian recipes,1,1,2,0,0,1,0,0,0
greek recipes,1,1,2,0,0,1,0,0,0
french recipes,1,1,2,0,0,1,0,0,0
chinese recipes,1,1,2,0,0,1,0,0,0
african recipes,1,1,2,0,0,1,0,0,0
american recipes,1,1,2,0,0,1,0,0,0
cajun and creole recipes,1,1,4,0,0,3,0,0,0
caribbean recipes,1,1,2,0,0,1,0,0,0
south american recipes,1,1,3,0,0,1,0,0,0
southern recipes,1,1,2,0,0,1,0,0,0
german recipes,2,1,2,0,0,1,0,0,0
healthy,2,2,1,0,0,0,0,0,0
healthy,2,2,1,0,0,0,0,0,0
see all healthy,2,2,3,0,0,0,1,0,0
easy healthy recipes,1,2,3,0,0,1,0,0,0
healthy breakfasts,1,1,2,0,0,1,0,0,0
healthy dinners,1,1,2,0,0,1,0,0,0
healthy desserts,1,1,2,0,0,1,0,0,0
diabetic recipes,1,1,2,0,0,1,0,0,0
gluten free diet and recipes,1,1,5,0,0,3,0,0,0
vegan recipes,1,1,2,0,0,1,0,0,0
low carbohydrate recipes,1,1,3,0,0,2,0,0,0
low cholesterol recipes,1,1,3,0,0,2,0,0,0
low fat recipes,1,1,3,0,0,2,0,0,0
low sodium recipes,1,1,3,0,0,2,0,0,0
low calorie recipes,1,1,3,0,0,2,0,0,0
vegetarian recipes,2,1,2,0,0,1,0,0,0
favorite ingredients,2,2,2,0,0,1,0,0,0
favorite ingredients,2,2,2,0,0,1,0,0,0
see all favorite ingredients,2,2,4,0,0,1,1,0,0
the ultimate guide to chicken,1,2,5,0,0,1,1,0,0
vegetable recipes,1,1,2,0,0,1,0,0,0
beef recipes,1,1,2,0,0,2,0,0,0
cheese recipes,1,1,2,0,0,1,0,0,0
chocolate recipes,1,1,2,0,0,2,0,0,0
pasta recipes,1,1,2,0,0,2,0,0,0
pork recipes,1,1,2,0,0,2,0,0,0
seafood recipes,1,1,2,0,0,2,0,0,0
shrimp recipes,2,1,2,0,0,2,0,0,0
holidays and occasions,2,2,3,0,0,2,0,0,0
holidays and occasions,2,2,3,0,0,2,0,0,0
see all holidays and occasions,2,2,5,0,0,2,1,0,0
a foodie s guide to halloween recipes,1,2,7,0,0,3,1,0,0
the ultimate thanksgiving guide,1,1,4,0,0,2,0,0,0
