Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
skip to content,2,0,3,0,0,1,1,0,0
top navigation,2,2,2,0,0,1,0,0,0
explore,2,2,1,0,0,1,0,0,0
southern living southern living,2,2,4,0,0,2,0,0,0
food and recipes,1,2,3,0,0,2,0,0,0
culture and lifestyle,1,1,3,0,0,2,0,0,0
style,1,1,1,0,0,1,0,0,0
holidays occasions,1,1,2,0,0,2,0,0,0
home,1,1,1,0,0,1,0,0,0
gardening ideas,1,1,2,0,0,2,0,0,0
news,1,1,1,0,0,1,0,0,0
video,2,1,1,0,0,1,0,0,0
search close,2,2,2,0,0,2,0,0,0
profile menu,2,2,2,0,0,2,0,0,0
your account,2,2,2,0,0,1,0,0,0
your account,2,2,2,0,0,1,0,0,0
account,2,2,1,0,0,1,0,0,0
join now,1,2,2,0,0,1,0,0,0
email preferences,1,1,2,0,0,2,0,0,0
newsletters,1,1,1,0,0,1,0,0,0
manage your subscription this link opens in a new tab,1,1,10,0,0,3,2,0,0
logout,2,1,1,0,0,1,0,0,0
more,2,2,1,0,0,0,0,0,0
give a gift subscription this link opens in a new tab,1,2,11,0,0,4,2,0,0
southern living books this link opens in a new tab,2,1,10,0,0,4,1,0,0
login,2,2,1,0,0,1,0,0,0
subscribe,2,2,1,0,0,1,0,0,0
pin fb,2,2,2,0,0,2,0,0,0
close this dialog window,2,2,4,0,0,2,0,0,0
explore southern living,2,2,3,0,0,1,0,0,0
southern living southern living,2,2,4,0,0,2,0,0,0
search,2,2,1,0,0,1,0,0,0
explore,2,2,1,0,0,1,0,0,0
explore,0,2,1,0,0,1,0,0,0
the best new haircuts to try in 2022 https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp content 2fuploads 2fsites 2f24 2f2019 2f11 2fchoppy lobjpg,2,0,24,1,23,5,2,0,0
the best new haircuts to try in 2022,0,2,8,1,4,1,1,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
the best new haircuts to try in 2022,2,2,8,1,4,1,1,0,0
here are the haircuts you ll be seeing everywhere this year read more,0,2,13,0,0,2,5,0,0
how to season a cast iron skillet https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp content 2fuploads 2fsites 2f24 2f2012 2f02 2fcast iron skilletjpg,2,0,24,1,19,9,1,0,0
how to season a cast iron skillet,0,2,7,0,0,4,0,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
how to season a cast iron skillet,2,2,7,0,0,4,0,0,0
learn how to season this southern kitchen staple in five easy steps read,1,2,13,0,0,4,2,0,0
more,0,1,1,0,0,0,0,0,0
50 thoughtful messages for a meaningful thank you note https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp content 2fuploads 2fsites 2f24 2f2021 2f05 2f14 2fthank you card medianews groupreading eagle via getty images contributorjpg,2,0,34,1,24,7,5,0,0
50 thoughtful messages for a meaningful thank you note,0,2,9,1,2,2,1,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
50 thoughtful messages for a meaningful thank you note,2,2,9,1,2,2,1,0,0
not sure what to write in a thank you card,0,2,10,0,0,1,2,0,0
here s how to show your gratitude,1,0,7,0,0,1,2,0,0
with a handwritten note read more,2,1,6,0,0,1,1,0,0
food and recipes,2,2,3,0,0,2,0,0,0
food and recipes,2,2,3,0,0,2,0,0,0
see all food and recipes,0,2,5,0,0,2,1,0,0
4 easy ways to tell if an egg has gone,1,0,10,1,1,2,3,0,0
bad https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp,1,1,9,1,5,2,1,0,0
content 2fuploads 2fsites 2f24 2f2018 2f01 2feggs floating water 2000jpg,2,1,10,1,18,2,0,0,0
4 easy ways to tell if an egg has gone bad,0,2,11,1,1,2,3,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
4 easy ways to tell if an egg has gone bad,2,2,11,1,1,2,3,0,0
it s not all in the senses but they sure can help,2,2,12,0,0,1,3,0,0
recipes,1,2,1,0,0,1,0,0,0
quick and easy dinner,1,1,4,0,0,2,0,0,0
kitchen assistant,1,1,2,0,0,2,0,0,0
casserole,1,1,1,0,0,1,0,0,0
holiday and occasion food,1,1,4,0,0,3,0,0,0
slow cooker recipes,1,1,3,0,0,2,0,0,0
desserts,1,1,1,0,0,1,0,0,0
healthy and light,1,1,3,0,0,0,0,0,0
side dishes,1,1,2,0,0,2,0,0,0
party food and drink,1,1,4,0,0,3,0,0,0
appetizers,1,1,1,0,0,1,0,0,0
meat,1,1,1,0,0,1,0,0,0
breakfast,1,1,1,0,0,1,0,0,0
bbq,1,1,1,0,0,1,0,0,0
drinks,1,1,1,0,0,1,0,0,0
what s cooking,2,1,3,0,0,0,2,0,0
culture and lifestyle,2,2,3,0,0,2,0,0,0
culture and lifestyle,2,2,3,0,0,2,0,0,0
see all culture and lifestyle,0,2,5,0,0,2,1,0,0
70 cute and funny nicknames for your best,1,0,8,1,2,2,0,0,0
friends https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp,1,1,9,1,5,2,1,0,0
content 2fuploads 2fsites 2f24 2f2020 2f03 2fgettyimages 1084069174 2000jpg,2,1,9,1,28,1,0,0,0
70 cute and funny nicknames for your best friends,0,2,9,1,2,3,0,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
70 cute and funny nicknames for your best friends,2,2,9,1,2,3,0,0,0
let your besties know how much they mean to you with these unique nicknames,2,2,14,0,0,2,3,0,0
quotes and sayings,1,2,3,0,0,2,0,0,0
biscuits and jam podcast,1,1,4,0,0,3,0,0,0
travel,1,1,1,0,0,1,0,0,0
pets,1,1,1,0,0,1,0,0,0
healthy living,1,1,2,0,0,1,0,0,0
coastal living,2,1,2,0,0,1,0,0,0
style,2,2,1,0,0,1,0,0,0
style,2,2,1,0,0,1,0,0,0
see all style,0,2,3,0,0,1,1,0,0
the coziest winter nail colors for january,1,0,7,0,0,4,0,0,0
2022 https //imagesvcmeredithcorpio/v3/mm/image url https 3a 2f 2fstaticonecmsio 2fwp,1,1,9,1,9,1,1,0,0
content 2fuploads 2fsites 2f24 2f2020 2f12 2f15 2foj2jpg,2,1,8,1,18,1,0,0,0
the coziest winter nail colors for january 2022,0,2,8,1,4,3,0,0,0
data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20100 20100 3e 3c/svg 3e,2,0,15,1,27,3,2,0,0
the coziest winter nail colors for january 2022,2,2,8,1,4,3,0,0,0
the beginning of a new year often has us all feeling like starting off fresh,1,2,15,0,0,2,3,0,0
by taking on better habits getting rid of old ones and most,1,1,12,0,0,2,2,0,0
commonly changing up our look while others are hitting the squats and going,1,1,13,0,0,3,4,0,0
into the salon for a pixie cut why not start slow and steady with a cozy,1,1,16,0,0,4,2,0,0
winter manicure in a color that feels new to you,0,1,10,0,0,3,1,0,0
it takes only a little,1,0,5,0,0,0,1,0,0
courage to step outside your usual opi lincoln park after dark or essie,1,1,13,0,0,6,1,0,0
bordeaux which is all you need to kick 2022 off on a fanciful foot from new,1,1,16,1,4,2,3,0,0
wintry takes on classic dark nail colors to unique pops of color that ll have,1,1,15,0,0,7,2,0,0
you feeling the opposite of boring these are the best nail colors to try this,1,1,15,0,0,3,4,0,0
january and tick off all the way into spring,2,1,9,0,0,3,1,0,0
beauty,1,2,1,0,0,1,0,0,0
hair,1,1,1,0,0,1,0,0,0
